ZIP,COUNTY,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO,USPS_ZIP_PREF_CITY,USPS_ZIP_PREF_STATE
00501,36103,0,1,0,1,HOLTSVILLE,NY
00604,72005,1,1,1,1,AGUADILLA,PR
00605,72005,1,1,1,1,AGUADILLA,PR
00606,72093,1,1,1,1,MARICAO,PR
00610,72011,1,1,1,1,ANASCO,PR
00611,72141,1,1,1,1,ANGELES,PR
00613,72013,1,1,1,1,ARECIBO,PR
00614,72013,1,1,1,1,ARECIBO,PR
00616,72013,1,1,1,1,BAJADERO,PR
00622,72023,1,1,1,1,BOQUERON,PR
00627,72027,1,1,1,1,CAMUY,PR
00631,72081,0,0,1,1,CASTANER,PR
00637,72121,1,1,1,1,SABANA GRANDE,PR
00652,72013,1,1,1,1,GARROCHALES,PR
00656,72059,1,1,1,1,GUAYANILLA,PR
00664,72073,1,1,1,1,JAYUYA,PR
00669,72081,1,1,1,1,LARES,PR
00670,72083,1,1,1,1,LAS MARIAS,PR
00677,72117,1,1,1,1,RINCON,PR
00678,72115,1,1,1,1,QUEBRADILLAS,PR
00681,72097,1,1,1,1,MAYAGUEZ,PR
00682,72097,1,1,1,1,MAYAGUEZ,PR
00685,72131,1,1,1,1,SAN SEBASTIAN,PR
00688,72013,1,1,1,1,SABANA HOYOS,PR
00690,72005,1,1,1,1,SAN ANTONIO,PR
00694,72145,1,1,1,1,VEGA BAJA,PR
00703,72007,1,1,1,1,AGUAS BUENAS,PR
00704,72123,1,1,1,1,AGUIRRE,PR
00705,72009,1,1,1,1,AIBONITO,PR
00707,72095,1,1,1,1,MAUNABO,PR
00714,72015,1,1,1,1,ARROYO,PR
00716,72113,1,1,1,1,PONCE,PR
00717,72113,1,1,1,1,PONCE,PR
00718,72103,1,1,1,1,NAGUABO,PR
00721,72119,1,1,1,1,PALMER,PR
00723,72109,1,1,1,1,PATILLAS,PR
00726,72025,1,1,1,1,CAGUAS,PR
00727,72025,1,1,1,1,CAGUAS,PR
00728,72113,1,1,1,1,PONCE,PR
00730,72113,1,1,1,1,PONCE,PR
00731,72113,1,1,1,1,PONCE,PR
00732,72113,1,1,1,1,PONCE,PR
00733,72113,1,1,1,1,PONCE,PR
00736,72035,1,1,1,1,CAYEY,PR
00737,72035,1,1,1,1,CAYEY,PR
00740,72053,1,1,1,1,PUERTO REAL,PR
00741,72069,1,1,1,1,PUNTA SANTIAGO,PR
00744,72103,1,1,1,1,RIO BLANCO,PR
00751,72123,1,1,1,1,SALINAS,PR
00765,72147,1,1,1,1,VIEQUES,PR
